DOD	lat	lon	SweepCount	FoodCount	BathCount	ShelterCount
1/9/2016	47.608873	-122.322088	0	12	4	35
1/17/2016	47.666378	-122.3876486	0	1	1	0
1/21/2016	47.608873	-122.322088	0	12	4	35
1/26/2016	47.5905865	-122.3222249	0	7	3	23
1/26/2016	47.590615	-122.322236	0	7	3	23
2/7/2016	47.6038212	-122.3241757	5	11	3	31
2/7/2016	47.600266	-122.330657	3	9	3	32
2/15/2016	47.5350614	-122.3145118	0	3	0	0
2/17/2016	47.602424	-122.331376	2	9	3	35
2/23/2016	47.6629337	-122.37078	2	0	2	0
3/3/2016	47.5903397	-122.329254	0	4	2	17
3/13/2016	47.5958245	-122.3192714	0	8	3	22
3/19/2016	47.618726	-122.320784	0	5	3	13
3/22/2016	47.5992407	-122.3230027	1	8	2	28
4/1/2016	47.715687	-122.344374	0	0	2	3
4/9/2016	47.60258	-122.331318	8	9	3	35
4/15/2016	47.60258	-122.331318	6	9	3	35
4/30/2016	47.6115014	-122.34335	2	4	3	35
4/30/2016	47.5798068	-122.3299681	1	1	0	4
5/1/2016	47.510031	-122.355103	0	2	1	0
5/3/2016	47.628042	-122.3462538	1	2	1	14
5/5/2016	47.669161	-122.3847594	0	1	1	0
5/16/2016	47.6158903	-122.3164774	0	6	3	15
5/30/2016	47.6692884	-122.3921846	0	1	1	0
6/9/2016	47.6115759	-122.3001068	0	6	8	4
6/12/2016	47.6038212	-122.3241757	0	11	3	31
6/13/2016	47.7261899	-122.356467	0	0	0	1
6/20/2016	47.5555176	-122.3288236	0	1	2	0
6/25/2016	47.525056	-122.313527	0	3	0	0
7/7/2016	47.571511	-122.351647	0	0	0	2
7/11/2016	47.60625	-122.330156	2	9	3	40
7/15/2016	47.6038212	-122.3241757	1	11	3	31
7/18/2016	47.5621971	-122.3138286	0	0	2	2
7/19/2016	47.77181	-122.377683	0	0	0	0
7/21/2016	47.6118709	-122.337913	2	5	4	35
7/28/2016	47.6038212	-122.3241757	4	11	3	31
7/30/2016	47.7049699	-122.3229406	0	0	0	3
8/5/2016	47.5203238	-122.3341166	1	5	1	1
8/11/2016	47.5480608	-122.3146862	0	2	2	0
8/21/2016	47.5854269	-122.3229521	0	5	2	9
8/24/2016	47.6692259	-122.3812515	0	1	1	0
9/3/2016	47.6038212	-122.3241757	4	11	3	31
9/8/2016	47.5856904	-122.3294928	0	4	1	8
10/1/2016	47.58889	-122.31903	1	7	2	18
10/6/2016	47.602611	-122.33125	1	9	3	35
